Wall time,Step,Value
1507659836.516173,54,71.9319839477539
1507659948.0266676,55,70.76419067382812
1507660056.723629,56,71.52223205566406
1507660165.7150025,57,71.78856658935547
1507660274.6148558,58,71.95246887207031
1507660391.4895122,59,69.80126953125
1507660500.214404,60,72.03441619873047
1507660628.5974648,61,71.19442749023438
1507660737.9760246,62,71.27637481689453
1507660847.5177898,63,70.23150634765625
1507660956.4048936,64,71.52223205566406
1507661065.5599437,65,71.97295379638672
1507661175.4004676,66,71.74758911132812
1507661284.1347835,67,70.86662292480469
1507661393.2147875,68,72.01393127441406
1507661503.2083209,69,70.1495590209961
1507661612.639269,70,73.1407470703125
1507661721.9338355,71,71.72710418701172
1507661830.5245993,72,73.75537872314453
1507661940.2617316,73,72.50563049316406
1507662049.2386117,74,72.77197265625
1507662158.0478232,75,72.6490478515625
1507662266.555712,76,72.25978088378906
1507662375.1321466,77,71.85002899169922
1507662484.0469136,78,74.06269073486328
1507662594.7835374,79,73.30464935302734
1507662703.8324437,80,72.36222076416016
1507662812.6459,81,73.28416442871094
1507662921.7415848,82,72.32124328613281
1507663030.7054315,83,74.00122833251953
1507663139.2820368,84,71.11248016357422
1507663248.161539,85,72.69002532958984
1507663358.426775,86,73.05879974365234
1507663467.6975472,87,73.79635620117188
1507663576.5819852,88,74.39049530029297
1507663685.7714107,89,74.32903289794922
Wall time,Step,Value
1507653920.9474916,0,0.02707872912287712
1507654030.0904815,1,0.02556540071964264
1507654140.10595,2,0.0216914564371109
1507654250.275389,3,0.02114584669470787
1507654360.4266224,4,0.02069777436554432
1507654470.0166104,5,0.017803676426410675
1507654580.0067325,6,0.016644582152366638
1507654689.372461,7,0.016052888706326485
1507654799.1898012,8,0.015145371668040752
1507654909.3869827,9,0.01482070330530405
1507655019.887483,10,0.013838493265211582
1507655129.9390924,11,0.013428707607090473
1507655239.294389,12,0.013259490951895714
1507655349.2019007,13,0.012623433955013752
1507655459.2955444,14,0.012346728704869747
1507655568.9251647,15,0.012367799878120422
1507655679.457942,16,0.01142020896077156
1507655789.4284973,17,0.011093049310147762
1507655899.8945541,18,0.011166178621351719
1507656008.6627882,19,0.010513966903090477
1507656119.753967,20,0.010735497809946537
1507656228.7026334,21,0.01066607516258955
1507656337.826433,22,0.010872216895222664
1507656446.464839,23,0.010298334993422031
1507656556.9202476,24,0.009808993898332119
1507656666.4545326,25,0.009730007499456406
1507656775.3267806,26,0.00912402756512165
1507656884.925274,27,0.009382166899740696
1507656993.8808033,28,0.009677628986537457
1507657102.5308113,29,0.009279887191951275
1507657211.251837,30,0.009109867736697197
1507657320.1675522,31,0.00899070966988802
1507657431.1054938,32,0.009506667964160442
1507657539.560691,33,0.008945057168602943
1507657649.2907345,34,0.009118934161961079
1507657758.1199572,35,0.008631224744021893
1507657867.8134172,36,0.008735212497413158
1507657977.340552,37,0.008336318656802177
1507658086.9922152,38,0.008641520515084267
1507658195.807095,39,0.008582612499594688
1507658304.3596373,40,0.008790896274149418
1507658413.1051404,41,0.008326280862092972
1507658523.5954247,42,0.0080970274284482
1507658633.1715863,43,0.00875808298587799
1507658742.0182803,44,0.007881776429712772
1507658851.495879,45,0.008367087692022324
1507658960.1861699,46,0.008026381023228168
1507659069.5398393,47,0.007905565202236176
1507659179.3246317,48,0.008116520941257477
